CCLASS|72|67|17|17|10
CCLASS|72|67|19|19|10
RATIONAL|72|52|30
RCLASS|72|52|3|3|0
RCLASS|72|52|9|9|18
RCLASS|72|52|11|11|6
RCLASS|72|52|13|13|14
RCLASS|72|52|15|15|8
RCLASS|72|52|17|17|10
RCLASS|72|52|19|19|10
TABLE|73|6_1.U4(3).2_2|39191040|169
COMPLEX|73|64|15|0
CCLASS|73|64|3|5|0
CCLASS|73|64|5|3|0
CCLASS|73|64|13|13|9
CCLASS|73|64|15|17|3
CCLASS|73|64|17|15|3
CCLASS|73|64|19|19|7
CCLASS|73|64|21|23|4
CCLASS|73|64|23|21|4
CCLASS|73|64|25|25|5
CCLASS|73|64|27|27|5
COMPLEX|73|65|15|0
CCLASS|73|65|3|5|0
CCLASS|73|65|5|3|0
CCLASS|73|65|13|13|9
CCLASS|73|65|15|17|3
CCLASS|73|65|17|15|3
CCLASS|73|65|19|19|7
CCLASS|73|65|21|23|4
CCLASS|73|65|23|21|4
CCLASS|73|65|25|25|5
CCLASS|73|65|27|27|5
COMPLEX|73|66|15|0
CCLASS|73|66|3|5|0
CCLASS|73|66|5|3|0
CCLASS|73|66|13|13|9
CCLASS|73|66|15|17|3
CCLASS|73|66|17|15|3
CCLASS|73|66|19|19|7
CCLASS|73|66|21|23|4
CCLASS|73|66|23|21|4
CCLASS|73|66|25|25|5
CCLASS|73|66|27|27|5
COMPLEX|73|67|15|0
CCLASS|73|67|3|5|0
CCLASS|73|67|5|3|0
CCLASS|73|67|13|13|9
CCLASS|73|67|15|17|3
CCLASS|73|67|17|15|3
CCLASS|73|67|19|19|7
CCLASS|73|67|21|23|4
CCLASS|73|67|23|21|4
CCLASS|73|67|25|25|5
CCLASS|73|67|27|27|5
RATIONAL|73|57|30
RCLASS|73|57|3|5|0
RCLASS|73|57|5|3|0
RCLASS|73|57|13|13|18
RCLASS|73|57|15|17|6
RCLASS|73|57|17|15|6
RCLASS|73|57|19|19|14
RCLASS|73|57|21|23|8
RCLASS|73|57|23|21|8
RCLASS|73|57|25|25|10
RCLASS|73|57|27|27|10
RATIONAL|73|58|30
RCLASS|73|58|3|5|0
RCLASS|73|58|5|3|0
RCLASS|73|58|13|13|18
RCLASS|73|58|15|17|6
RCLASS|73|58|17|15|6
RCLASS|73|58|19|19|14
RCLASS|73|58|21|23|8
RCLASS|73|58|23|21|8
RCLASS|73|58|25|25|10
RCLASS|73|58|27|27|10
TABLE|74|6_1.U4(3).2_2'|39191040|94
COMPLEX|74|64|30|1
CCLASS|74|64|3|3|0
CCLASS|74|64|9|9|18
CCLASS|74|64|11|11|6
CCLASS|74|64|13|13|14
CCLASS|74|64|15|15|8
CCLASS|74|64|17|17|10
CCLASS|74|64|19|19|10
RATIONAL|74|57|30
RCLASS|74|57|3|3|0
RCLASS|74|57|9|9|18
RCLASS|74|57|11|11|6
RCLASS|74|57|13|13|14
RCLASS|74|57|15|15|8
RCLASS|74|57|17|17|10
RCLASS|74|57|19|19|10
TABLE|75|6_2.U4(3)|19595520|89
TABLE|76|6_2.U4(3).2_1|39191040|91
TABLE|77|6_2.U4(3).2_3|39191040|115
TABLE|78|6_2.U4(3).2_3'|39191040|70
TABLE|85|Isoclinic(6_2.U4(3).2_3')|39191040|70
TABLE|86|S3x2.U4(3).2_2|78382080|189
TABLE|89|S3xU4(3)|19595520|60
TABLE|90|S3xU4(3).(2^2)_{122}|78382080|177
TABLE|91|S3xU4(3).2_2|39191040|102
